Tenant,Sale Location,,,,,,,,,,,,,,,,,,,Location Segment,Market,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_FREEDOMCS_LYNN_VALLEY_CTR,,,,,,,,,,,,,,,,,,,WCVN0114,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCPOR_MMSTRCS_555_NORTH_RD,,,,,,,,,,,,,,,,,,,WCVN0112,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0113,,,,,,,,,,,,,,,,,,,WCVN0113,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCSUR_MMSTRCS_153RD_AVE,,,,,,,,,,,,,,,,,,,WCSR0102,None,,,,,,,,,,,,,,,,,,,
GWMC,WCED0110,,,,,,,,,,,,,,,,,,,WCED0110,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_MMSTRCS_177TH_ST,,,,,,,,,,,,,,,,,,,WCED0111,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_MMSTRCS_MEMORIAL_DR,,,,,,,,,,,,,,,,,,,WCCA0117,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0118,,,,,,,,,,,,,,,,,,,WCCA0118,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_MMSTRCS_601_17TH_AVE,,,,,,,,,,,,,,,,,,,WCCA0119,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ONBAR_MMSTRCS_DUNLOP_ST,,,,,,,,,,,,,,,,,,,WCBA0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ONLON_MMSTRCS_DUNDAS_ST,,,,,,,,,,,,,,,,,,,WCLN0103,London,,,,,,,,,,,,,,,,,,,
GWMC,WCWN0101,,,,,,,,,,,,,,,,,,,WCWN0101,Windsor,,,,,,,,,,,,,,,,,,,
GWMC,WCKN0101,,,,,,,,,,,,,,,,,,,WCKN0101,Kitchener,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0115,,,,,,,,,,,,,,,,,,,WCVN0115,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0122,,,,,,,,,,,,,,,,,,,WCCA0122,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0121,,,,,,,,,,,,,,,,,,,WCCA0121,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0120,,,,,,,,,,,,,,,,,,,WCCA0120,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WR140001,,,,,,,,,,,,,,,,,,,WR140001,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140002,,,,,,,,,,,,,,,,,,,WR140002,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140003,,,,,,,,,,,,,,,,,,,WR140003,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140004,,,,,,,,,,,,,,,,,,,WR140004,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140005,,,,,,,,,,,,,,,,,,,WR140005,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140006,,,,,,,,,,,,,,,,,,,WR140006,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140007,,,,,,,,,,,,,,,,,,,WR140007,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140008,,,,,,,,,,,,,,,,,,,WR140008,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140009,,,,,,,,,,,,,,,,,,,WR140009,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140010,,,,,,,,,,,,,,,,,,,WR140010,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140011,,,,,,,,,,,,,,,,,,,WR140011,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140012,,,,,,,,,,,,,,,,,,,WR140012,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140013,,,,,,,,,,,,,,,,,,,WR140013,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140014,,,,,,,,,,,,,,,,,,,WR140014,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140015,,,,,,,,,,,,,,,,,,,WR140015,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140017,,,,,,,,,,,,,,,,,,,WR140017,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WR140018,,,,,,,,,,,,,,,,,,,WR140018,Vancouver,,,,,,,,,,,,,,,,,,,
